time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-04-30 00:00:00+00:00,30,8,0,0
2026-05-01 00:00:00+00:00,38,9,0,0
2026-05-02 00:00:00+00:00,44,11,0,0
2026-05-03 00:00:00+00:00,33,9,0,0
2026-05-04 00:00:00+00:00,23,7,0,0
2026-05-05 00:00:00+00:00,30,8,0,0
2026-05-06 00:00:00+00:00,32,9,0,0
2026-05-07 00:00:00+00:00,13,6,0,0
2026-05-08 00:00:00+00:00,18,8,0,0
2026-05-09 00:00:00+00:00,13,8,0,0
2026-05-10 00:00:00+00:00,30,9,0,0
2026-05-11 00:00:00+00:00,16,4,0,0
2026-05-12 00:00:00+00:00,21,5,0,0
2026-05-13 00:00:00+00:00,14,3,0,0
