time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-06-10 00:00:00+00:00,8,4,2,2
2024-06-11 00:00:00+00:00,8,8,8,1
2024-06-12 00:00:00+00:00,25,17,40,2
2024-06-13 00:00:00+00:00,5,5,0,0
2024-06-14 00:00:00+00:00,1,1,2,1
2024-06-17 00:00:00+00:00,5,2,5,1
2024-06-18 00:00:00+00:00,1,1,7,1
2024-06-19 00:00:00+00:00,18,13,23,3
2024-06-20 00:00:00+00:00,9,7,8,1
2024-06-21 00:00:00+00:00,3,2,6,2
2024-06-22 00:00:00+00:00,6,4,3,1
2024-06-23 00:00:00+00:00,4,2,2,1
2024-06-24 00:00:00+00:00,2,1,0,0
2024-06-25 00:00:00+00:00,3,2,31,1
2024-06-26 00:00:00+00:00,2,2,0,0
2024-06-28 00:00:00+00:00,2,1,0,0
2024-06-29 00:00:00+00:00,3,1,0,0
2024-06-30 00:00:00+00:00,1,1,0,0
2024-07-01 00:00:00+00:00,3,3,0,0
2024-07-02 00:00:00+00:00,0,0,1,1
